Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Conservation Forest,Mandaramnuwara,2020,0.0,0.0,0.0,0.0
Conservation Forest,Nuwaragala,2020,0.0,0.0,0.0,0.0
Conservation Forest,Piduruthalagala,2020,0.0,0.0,0.0,0.0
Conservation Forest,Rathna Ella,2020,1.0,300.0,1005.0,40600.0
Conservation Forest,Rathna Ella (Kandy),2020,0.0,0.0,0.0,0.0
Conservation Forest,Sinharaja Conservation Forest,2020,5673.0,3937500.0,21343.0,553311.0
Conservation Forest,Udawattakele Conservation Forest,2020,3798.0,3014000.0,10897.0,378665.0
Conservation Forest,Yahangala,2020,0.0,0.0,0.0,0.0
Cultural Triangle,Abhayagiriya,2020,366.0,1521838.0,14815.0,288020.0
Cultural Triangle,Apegama,2020,895.0,628904.0,12547.0,827030.0
Cultural Triangle,Buduruwagala,2020,0.0,0.0,0.0,0.0
Cultural Triangle,Dambulla,2020,8705.0,3124430.0,0.0,0.0
Cultural Triangle,Dambulla Museum,2020,304.0,129002.33333333333,602.3333333333334,26800.0
Cultural Triangle,Galle,2020,3683.0,2897957.0,8387.0,330835.0
Cultural Triangle,Galle Museum,2020,11959.0,12504472.973333335,52207.333333333336,2503513.3333333335
Cultural Triangle,Ibbankatuwa,2020,2119.0,1035992.0,10138.0,190310.0
Cultural Triangle,Ibbankatuwa Ancient Burial Ground,2020,923.75,357136.4925,27568.75,868497.5
Cultural Triangle,Jaffna Fort,2020,0.0,0.0,0.0,0.0
Cultural Triangle,Jethawanaya,2020,16721.0,72829772.0,452.0,8380.0
Cultural Triangle,Kandy,2020,45.0,8196.0,1008.0,17420.0
Cultural Triangle,Kandy Museum,2020,187.66666666666666,49834.42,6968.333333333333,199278.66666666666
Cultural Triangle,Kataragama,2020,805.0,524524.0,1584.0,29200.0
Cultural Triangle,Kataragama Museum,2020,62.666666666666664,74259.33333333333,7712.666666666666,248566.6666666667
Cultural Triangle,Lahugala,2020,543.0,542355.0,0.0,0.0
Cultural Triangle,Namal Uyana,2020,192.0,69010.0,24377.0,415838.0
Cultural Triangle,Polonnaruwa,2020,47517.0,209311802.0,13653.0,551075.0
Cultural Triangle,Ramba,2020,9.0,6631.0,0.0,0.0
Cultural Triangle,Rathugala,2020,0.0,0.0,0.0,0.0
Cultural Triangle,Ritigala,2020,0.0,0.0,19124.0,336710.0
Cultural Triangle,Ritigala Forest Monastery,2020,8685.5,4152273.0,47230.75,983799.5
Cultural Triangle,Sigiriya,2020,103651.0,537489876.0,182093.0,9387175.0
Cultural Triangle,Trincomalee,2020,0.0,0.0,0.0,0.0
Cultural Triangle,Yapahuwa,2020,15.0,13660.0,0.0,0.0
Museum,Anuradapura Folk Museum,2020,126.0,12600.0,724.0,2748.0
Museum,Anuradhapura Folk Museum,2020,25.0,7500.0,1660.0,26050.0
Museum,Colombo National Museum,2020,11762.0,11813400.00001,24541.0,1298670.00001
Museum,Dambulla Museum,2020,309.6666666666667,123330.22222222222,588.2222222222222,20566.666666666664
Museum,Dutch Museum,2020,0.0,0.0,0.0,0.0
Museum,Galle Maritime Museum,2020,1092.0,319800.0,9160.0,122835.0
Museum,Galle Museum,2020,12193.0,11742145.135555556,51900.22222222222,2170773.888888889
Museum,Galle National Museum,2020,1301.0,385050.0,6315.0,82390.0
Museum,Hambantota National Museum,2020,22.0,10800.0,680.0,10990.0
Museum,Independence Memorial Museum,2020,478.0,137400.0,4335.0,34450.0
Museum,Kandy Museum,2020,183.77777777777777,47118.65666666666,6584.888888888889,164658.44444444444
Museum,Kandy National Museum,2020,914.0,542000.0,6099.0,127505.0
Museum,Kataragama Museum,2020,64.44444444444444,70081.22222222222,8230.444444444445,220377.77777777778
Museum,Natural History Museum,2020,1053.0,818000.0,11164.0,459650.0
Museum,Polonnaruwa Museum,2020,83.0,81500.0,30713.0,2338270.0
Museum,Rathnapura National Museum,2020,1.0,500.0,1362.0,35260.0
Other,Apegama,2020,1048.6666666666667,704428.0166666667,36405.666666666664,2389106.6666666665
Wildlife Park,Angammedilla,2020,1.0,0.0,747.0,50283.0
Wildlife Park,Bar Reef - Kalpitiya,2020,2347.0,3349492.0,7054.0,139190.0
Wildlife Park,Bundala,2020,2258.0,4271151.0,4520.0,176400.0
Wildlife Park,Eth Athuru Sevana,2020,15906.0,7818750.0,25436.0,438805.0
Wildlife Park,Galoya,2020,892.0,487966.0,4950.0,122190.0
Wildlife Park,Galways Land,2020,0.0,0.0,1519.0,59140.0
Wildlife Park,Girithale,2020,0.0,0.0,0.0,0.0
Wildlife Park,Hikkaduwa,2020,2474.0,75433.0,9284.0,43943.0
Wildlife Park,Horagolla,2020,5.0,9050.0,3331.0,126210.0
Wildlife Park,Horton Plains,2020,20382.0,51945787.0,100644.0,5761610.0
